"","series","baker_first_name","baker_last_name","baker_age","baker_occupation","hometown","episode","technical","result","signature_bake","show_stopper"
"196",3,"John","Whaite",22,"Law student","Wigan",4,6,"IN","'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova"
"197",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",4,9,"IN","Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert"
"198",3,"Ryan","Chong",38,"Photographer","Bristol",4,7,"IN","Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue"
"199",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",4,4,"IN","Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue"
"200",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",4,8,"OUT","Black Forest Torte","Choca Blocka Mocha Meringue"
"201",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",4,1,"STAR BAKER","Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise"
"202",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",4,NA,NA,NA,NA
"203",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",4,NA,NA,NA,NA
"204",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",4,NA,NA,NA,NA
"205",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",5,3,"IN","Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie"
"206",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",5,1,"IN","Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie"
"207",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",5,7,"IN","Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie"
"208",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",5,6,"IN","Four Pig Wellington","Sweet Potato Pie"
